Fed Id: 2144560208, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 2144560208, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 2144560208, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 2144560208, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 2144560208, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 90457168, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 90457168, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8089], Accuracy: 0.5128
Fed Id: 1634887529, Round - 1, Clients Trained: [8089,8088], Accuracy: 0.5093
Fed Id: 1634887529, Round - 0, Clients Trained: [8090], Accuracy: 0.5011
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
